Market_A,Market_B,Market_C,P1,P2,P3,Profit%
BTC,ETH,LINK,0.031169,0.01565,0.00048776,-0.07144396870939485
BTC,ETH,MTL,0.031174,0.000773,2.406e-05,-1.5562608937640388
BTC,ETH,BAT,0.031175,0.00042463,1.327e-05,2.42938042706764
BTC,ETH,DATA,0.031178,7.713e-05,2.4e-06,-1.9790505921521984
BTC,ETH,RLC,0.031178,0.001262,3.933e-05,-0.42280615806666866
BTC,ETH,LRC,0.03118,0.00029535,9.21e-06,0.10717760958756095
BTC,ETH,AAVE,0.031186,0.2079,0.006479,-0.7047661123207316
BTC,ETH,OMG,0.031187,0.002775,8.65e-05,-0.50754573472378
BTC,ETH,ZRX,0.0312,0.00071278,2.223e-05,-0.39282808159601945
BTC,ETH,FRONT,0.031193,0.0016478,5.107e-05,-6.416858373219259
BTC,ETH,DASH,0.031193,0.12636,0.003944,0.6222226200354175
BTC,ETH,LOOM,0.031193,8.909e-05,2.77e-06,-3.2329688849598304
BTC,ETH,GXS,0.031193,0.000385,1.202e-05,0.8905594453634258
BTC,ETH,ENJ,0.031193,0.00126045,3.936e-05,1.0881530644253345
BTC,ETH,ZEC,0.031193,0.07879,0.002458,0.12350182526810194
BTC,ETH,IOST,0.031193,2.357e-05,7.3e-07,-7.098578694258784
BTC,ETH,GRT,0.031193,0.00092333,2.879e-05,-0.39694865609818386
BTC,ETH,MANA,0.031193,0.00054961,1.713e-05,-0.8157222617869442
BTC,ETH,PIVX,0.031193,0.000601,1.878e-05,1.760655695556057
BTC,ETH,WAN,0.031193,0.000573,1.782e-05,-2.998222684878926
BTC,ETH,EOS,0.031193,0.002166,6.76e-05,0.5322654042674291
BTC,ETH,WAVES,0.031193,0.005345,0.0001666,-0.7592370466891207
BTC,ETH,QLC,0.031193,4.842e-05,1.51e-06,-0.24170315486504723
BTC,ETH,XVG,0.031193,1.519e-05,4.8e-07,13.03935719107141
BTC,ETH,QTUM,0.031193,0.003196,9.89e-05,-7.952708493734195
BTC,ETH,EASY,0.031193,0.012043,0.0003755,-0.4187300510830605
BTC,ETH,SC,0.031193,7.68e-06,2.4e-07,1.8273330554932077
BTC,ETH,IOTX,0.031193,2.67e-05,8.4e-07,8.581225188451613
BTC,ETH,LSK,0.031193,0.001838,5.7e-05,-5.803560667453911
BTC,ETH,CVC,0.031193,0.00024567,7.61e-06,-6.940236310197911
BTC,ETH,WBTC,0.031193,32.0823,1.00068,-0.06313697761450854
BTC,ETH,NEBL,0.031193,0.001355,4.23e-05,0.7922347039968081
BTC,ETH,AION,0.031193,0.000158,4.93e-06,0.3055700179406262
BTC,ETH,ADX,0.031193,0.000584,1.812e-05,-5.308971234765036
BTC,ETH,STEEM,0.031193,0.000248,7.76e-06,3.120013485242268
BTC,ETH,XMR,0.031193,0.12321,0.003842,-0.335527674908187
BTC,ETH,BRD,0.031193,0.0001454,4.53e-06,-1.2043315012084665
BTC,ETH,ADA,0.031193,0.00057886,1.804e-05,-0.907157471106812
BTC,ETH,RENBTC,0.031193,31.999,1.00107,2.930629884046354
BTC,ETH,XEM,0.031193,0.0001867,5.83e-06,1.0760967050498227
BTC,ETH,STMX,0.031193,1.267e-05,4e-07,12.106540103418606
BTC,ETH,QSP,0.031193,5.06e-05,1.58e-06,1.0353746894415927
BTC,ETH,VIB,0.031193,4.421e-05,1.36e-06,-13.808515390747234
BTC,ETH,SNT,0.031193,5.407e-05,1.69e-06,2.012616453506144
BTC,ETH,IOTA,0.031193,0.0007205,2.245e-05,-1.0926355765906726
BTC,ETH,KMD,0.031193,0.00079,2.47e-05,2.33458740134429
BTC,ETH,OST,0.031193,1.569e-05,4.9e-07,1.1888197775737908
BTC,ETH,BLZ,0.031193,0.0001957,6.1e-06,-0.7322666712709092
BTC,ETH,NAS,0.031193,0.00038,1.19e-05,3.936443230346809
BTC,ETH,NEO,0.031193,0.02152,0.00067,-1.8969321231516734
BTC,ETH,XRP,0.031193,0.00023888,7.46e-06,1.1563167573984678
BTC,ETH,ELF,0.031193,0.00017844,5.53e-06,-6.481927496636897
BTC,ETH,ZIL,0.031193,9.023e-05,2.81e-06,-1.6146094608227024
BTC,ETH,ZEN,0.031193,0.02952,0.0009201,-0.7790469979844783
BTC,ETH,THETA,0.031193,0.00400954,0.00012488,-1.515805986960883
BTC,ETH,KNC,0.031193,0.0011816,3.684e-05,-0.4788368377963703
BTC,ETH,QKC,0.031193,1.76e-05,5.5e-07,1.8273330554932077
BTC,ETH,XLM,0.031193,0.00021174,6.6e-06,-0.7276247222055554
BTC,ETH,LTC,0.031193,0.11687,0.003645,-0.14426176441584282
BTC,ETH,REP,0.031193,0.01668,0.00052,-0.5751305729373435
BTC,ETH,ETC,0.031193,0.00704,0.0002193,-1.360299367865192
BTC,ETH,SCRT,0.031193,0.001623,5.061e-05,-0.3207625200046804
BTC,ETH,NANO,0.031193,0.002762,8.61e-05,-0.6391498788939076
BTC,ETH,FUN,0.031193,1.708e-05,5.4e-07,13.558332271599749
BTC,ETH,VET,0.031193,3.525e-05,1.1e-06,0.4063013774002755
BTC,ETH,FIRO,0.031193,0.004513,0.0001404,-2.6568043537070762
BTC,ETH,BNB,0.031193,0.142989,0.0044598,-0.10220871012156518
BTC,ETH,POWR,0.031193,0.00020114,6.32e-06,7.3061541073031755
BTC,ETH,STRAX,0.031193,0.000781,2.431e-05,-2.123535300218471
BTC,ETH,TRX,0.031193,2.761e-05,8.7e-07,10.172870418867497
BTC,ETH,BQX,0.031193,0.0027997,8.729e-05,-0.4699600395584591
BTC,ETH,BNT,0.031193,0.004296,0.00013353,-3.545595658100531
BTC,ETH,CDT,0.031193,2.173e-05,6.8e-07,3.210435678211443
BTC,ETH,ONT,0.031193,0.000591,1.84e-05,-1.9019734296541468
BTC,ETH,ICX,0.031193,0.000958,2.983e-05,-1.7700427542257646
BTC,ETH,GLM,0.031193,0.0002526,7.85e-06,-3.725154142755871
